frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
75,19.431497487,-0.263984295,0.156761567,-0.617441853,0.981394098,0.0639727558,-0.179970631,0.0195878288,1,fitted_bspline,raw_camera_orientation,relative_only
76,19.582824121,-0.262430502,0.157399609,-0.623080134,0.981418595,0.0638922513,-0.179841211,0.0198106297,1,fitted_bspline,raw_camera_orientation,relative_only
77,19.734150754,-0.262027668,0.157846548,-0.617894014,0.982001972,0.0634278365,-0.17679512,0.0198121792,1,fitted_bspline,raw_camera_orientation,relative_only
78,19.885477387,-0.26274415,0.158286575,-0.611425584,0.982420417,0.0590601179,-0.176011674,0.0195427117,1,fitted_bspline,raw_camera_orientation,relative_only
79,20.036804020,-0.264548306,0.158903882,-0.61979342,0.98150175,0.0621222514,-0.180070453,0.0192294717,1,fitted_bspline,raw_camera_orientation,relative_only
80,20.188130653,-0.267326272,0.159882659,-0.645772079,0.980764156,0.0626456226,-0.183532867,0.0222009552,1,fitted_bspline,raw_camera_orientation,relative_only
81,20.339457286,-0.270635295,0.161407099,-0.650009793,0.981026365,0.0615315201,-0.182984393,0.0178284955,1,fitted_bspline,raw_camera_orientation,relative_only
82,20.490783920,-0.2739504,0.163661391,-0.64748074,0.981554426,0.0610339185,-0.180598188,0.0144936164,1,fitted_bspline,raw_camera_orientation,relative_only
83,20.642110553,-0.276825678,0.166738824,-0.657189917,0.98142947,0.0605088244,-0.181670897,0.0114264317,1,fitted_bspline,raw_camera_orientation,relative_only
84,20.793437186,-0.279131475,0.17036907,-0.672823392,0.981850783,0.059778744,-0.179899324,0.00563701144,1,fitted_bspline,raw_camera_orientation,relative_only
85,20.944763819,-0.280817204,0.174190895,-0.682235217,0.982576788,0.0540967327,-0.17757495,-0.00913984313,1,fitted_bspline,raw_camera_orientation,relative_only
86,21.096090452,-0.281832277,0.17784307,-0.679001471,0.982749588,0.0428472459,-0.177830888,-0.027267842,1,fitted_bspline,raw_camera_orientation,relative_only
