frame_index,timestamp_sec,time_normalized,speed_relative,acceleration_relative,jerk_proxy,curvature,step_relative,pose_jump,bspline_residual,rts_residual,innovation_norm
67,19.517000000,0.336764706,1.02594592,42.342873,1274.75021,17.6086788,0.00356102733,false,0.00325029453,0.0309758384,0.0148851887
68,19.667000000,0.341176471,1.17454838,24.176977,4870.48273,5.4649348,0.00555529449,false,0.00206291945,0.0318929075,0.0160175018
69,19.867000000,0.347058824,1.22488089,14.0222224,7108.27884,8.92018652,0.00627201954,false,0.00199775491,0.0322309359,0.0171885621
70,20.017000000,0.351470588,1.16454526,44.2949089,3051.88335,11.551348,0.0059530961,false,0.00197913948,0.0339972992,0.0172858127
71,20.217000000,0.357352941,0.697062622,12.4992061,8950.2235,18.2378329,0.00548430055,false,0.00104323476,0.0339623079,0.0186050219
72,20.367000000,0.361764706,0.896683829,41.8302402,2013.09106,7.01937114,0.00232319886,false,0.00182599261,0.0324156125,0.0187532445
73,20.517000000,0.366176471,1.05933325,7.31160692,6181.14659,6.4892776,0.00560135872,false,0.00116212895,0.0337422945,0.019123004
74,20.717000000,0.372058824,0.760392322,10.2182547,3704.02337,9.75248243,0.00462308298,false,0.000935819586,0.0331664057,0.0202013864
75,20.867000000,0.376470588,0.862808598,25.2805563,2731.26458,10.5180263,0.00327948144,false,0.00145378587,0.0325241474,0.0206745982
76,21.067000000,0.382352941,1.02155105,7.83795617,6411.93752,7.50865236,0.0060292794,false,0.000614694845,0.0334561561,0.0211508687
77,21.217000000,0.386764706,0.925403153,34.432292,3415.75489,13.8495299,0.00457754718,false,0.00106338198,0.0340455562,0.0225268793
78,21.417000000,0.392647059,0.669468989,17.2578819,8080.01144,37.5678642,0.00479941834,false,0.00138755891,0.033942402,0.0227095739
79,21.567000000,0.397058824,0.829228862,42.2477608,4069.45858,23.4623037,0.00262805697,false,0.00126139318,0.0324392503,0.0236545395
80,21.717000000,0.401470588,1.02505162,25.3615885,5276.92721,11.9458409,0.00480722001,false,0.000965187408,0.0333595879,0.023204926
81,21.917000000,0.407352941,0.968786618,19.0310362,3271.67429,16.7561705,0.00561069384,false,0.00224894036,0.0341702744,0.024428273
82,22.067000000,0.411764706,0.917776904,18.0101544,2374.04421,7.49086305,0.00437376905,false,0.00280563407,0.0345438092,0.0246315998
83,22.267000000,0.417647059,0.77554674,19.5106185,2175.29587,10.7887374,0.00482579832,false,0.00319720369,0.034334846,0.0257947068
84,22.417000000,0.422058824,0.710624051,23.2869243,1875.82033,28.1595269,0.0032895727,false,0.00358378849,0.0341748644,0.0266564299
85,22.567000000,0.426470588,0.621289654,14.1882826,2998.4227,30.4873652,0.00300428542,false,0.00350987245,0.0336156336,0.0271876304
86,22.767000000,0.432352941,0.65577303,11.8092892,853.490674,25.7217534,0.00324426288,false,0.00264750536,0.0321039762,0.0280263314
87,22.917000000,0.436764706,0.670091794,6.56225307,2126.32502,14.3245078,0.00330546993,false,0.00321799968,0.0320998385,0.028743288
88,23.117000000,0.442647059,0.628472917,10.5506691,770.519085,25.9377502,0.00334208007,false,0.00317862421,0.0310354037,0.0303609182
