frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
54,16.253638191,-0.247026831,0.141081706,-0.555826426,0.937203069,0.0960745491,-0.335233082,-0.00623447398,1,raw,raw_camera_orientation,relative_only
55,16.404964824,-0.244950235,0.144638672,-0.557572603,0.944001944,0.0962819433,-0.315568581,-0.0025666479,1,raw,raw_camera_orientation,relative_only
56,16.556291457,-0.24364531,0.142273918,-0.545698225,0.950942732,0.096722292,-0.293837175,0.00352615954,1,raw,raw_camera_orientation,relative_only
57,16.707618090,-0.244569376,0.142876968,-0.542747796,0.956559947,0.0947400882,-0.275642117,0.00622945826,1,raw,raw_camera_orientation,relative_only
58,16.858944724,-0.239987627,0.144218966,-0.547317505,0.958946205,0.0972242692,-0.266317088,0.0066952575,1,raw,raw_camera_orientation,relative_only
59,17.010271357,-0.242794886,0.135251731,-0.544692576,0.963259725,0.105060037,-0.246835878,0.0128506755,1,raw,raw_camera_orientation,relative_only
60,17.161597990,-0.24774991,0.141107708,-0.558531642,0.967682916,0.106158127,-0.228190743,0.0157864258,1,raw,raw_camera_orientation,relative_only
61,17.312924623,-0.257176518,0.143705353,-0.553513885,0.969729905,0.104467086,-0.219601914,0.0220349272,1,raw,raw_camera_orientation,relative_only
62,17.464251256,-0.257468581,0.143122122,-0.563613355,0.96736546,0.119177405,-0.222510301,0.0221354874,1,raw,raw_camera_orientation,relative_only
63,17.615577889,-0.259195507,0.136950806,-0.559328675,0.970052735,0.12189379,-0.208796221,0.0233181069,1,raw,raw_camera_orientation,relative_only
64,17.766904523,-0.267092615,0.143328935,-0.580323815,0.969686548,0.125697523,-0.207585214,0.0285746501,1,raw,raw_camera_orientation,relative_only
65,17.918231156,-0.265588611,0.145083174,-0.583076537,0.9699155,0.127972692,-0.205052242,0.0289912284,1,raw,raw_camera_orientation,relative_only
66,18.069557789,-0.26708734,0.143314496,-0.57910794,0.972510527,0.119424546,-0.197785029,0.0290195757,1,raw,raw_camera_orientation,relative_only
67,18.220884422,-0.26808247,0.144956023,-0.588506341,0.976118295,0.114978967,-0.181244922,0.0335140229,1,raw,raw_camera_orientation,relative_only
68,18.372211055,-0.26627931,0.143951699,-0.584799469,0.977189644,0.116907668,-0.173728268,0.0353763293,1,raw,raw_camera_orientation,relative_only
69,18.523537688,-0.268516421,0.148127556,-0.59226048,0.977123786,0.114316457,-0.176090124,0.033957647,1,raw,raw_camera_orientation,relative_only
70,18.674864322,-0.270594299,0.145932153,-0.589151084,0.977863018,0.10602077,-0.176904376,0.0353320724,1,raw,raw_camera_orientation,relative_only
71,18.826190955,-0.266859323,0.153205305,-0.601618707,0.980309802,0.0766178926,-0.180463471,0.0235653764,1,raw,raw_camera_orientation,relative_only
72,18.977517588,-0.278491646,0.159773797,-0.60745281,0.97992445,0.0688116265,-0.185595687,0.0238175,1,raw,raw_camera_orientation,relative_only
73,19.128844221,-0.263801575,0.15057762,-0.595560849,0.979480308,0.0725765625,-0.186610203,0.0229695574,1,raw,raw_camera_orientation,relative_only
74,19.280170854,-0.265121728,0.156514198,-0.602910697,0.980593511,0.0648065449,-0.18386834,0.0207101808,1,raw,raw_camera_orientation,relative_only
75,19.431497487,-0.266116619,0.159168422,-0.618192792,0.981394098,0.0639727558,-0.179970631,0.0195878288,1,raw,raw_camera_orientation,relative_only
76,19.582824121,-0.262791008,0.157766223,-0.622106612,0.981418595,0.0638922513,-0.179841211,0.0198106297,1,raw,raw_camera_orientation,relative_only
77,19.734150754,-0.261115819,0.155483708,-0.616490185,0.982001972,0.0634278365,-0.17679512,0.0198121792,1,raw,raw_camera_orientation,relative_only
78,19.885477387,-0.266619921,0.153863907,-0.615077734,0.982420417,0.0590601179,-0.176011674,0.0195427117,1,raw,raw_camera_orientation,relative_only
79,20.036804020,-0.258134007,0.154964283,-0.616468668,0.98150175,0.0621222514,-0.180070453,0.0192294717,1,raw,raw_camera_orientation,relative_only
80,20.188130653,-0.269875854,0.164593861,-0.647352993,0.980764156,0.0626456226,-0.183532867,0.0222009552,1,raw,raw_camera_orientation,relative_only
81,20.339457286,-0.272595316,0.162639305,-0.649954498,0.981026365,0.0615315201,-0.182984393,0.0178284955,1,raw,raw_camera_orientation,relative_only
82,20.490783920,-0.273282379,0.163784117,-0.646030307,0.981554426,0.0610339185,-0.180598188,0.0144936164,1,raw,raw_camera_orientation,relative_only
83,20.642110553,-0.275387436,0.166698635,-0.659996748,0.98142947,0.0605088244,-0.181670897,0.0114264317,1,raw,raw_camera_orientation,relative_only
84,20.793437186,-0.28001684,0.170505583,-0.67068541,0.981850783,0.059778744,-0.179899324,0.00563701144,1,raw,raw_camera_orientation,relative_only
85,20.944763819,-0.28044492,0.174765676,-0.681013286,0.982576788,0.0540967327,-0.17757495,-0.00913984313,1,raw,raw_camera_orientation,relative_only
86,21.096090452,-0.282357216,0.180122226,-0.682748497,0.982749588,0.0428472459,-0.177830888,-0.027267842,1,raw,raw_camera_orientation,relative_only
87,21.247417085,-0.282903612,0.17980969,-0.677837372,0.983113193,0.0348567449,-0.176562644,-0.0331525183,1,raw,raw_camera_orientation,relative_only
88,21.398743719,-0.278224349,0.18391569,-0.692210257,0.982478389,0.0260554275,-0.179929112,-0.0410224753,1,raw,raw_camera_orientation,relative_only
89,21.550070352,-0.282631576,0.182427421,-0.699693203,0.981958822,0.0319863989,-0.180667589,-0.0457489183,1,raw,raw_camera_orientation,relative_only
90,21.701396985,-0.277826458,0.184573427,-0.69251436,0.983027241,0.0290756586,-0.175078168,-0.0464724002,1,raw,raw_camera_orientation,relative_only
91,21.852723618,-0.279047459,0.181924328,-0.686580896,0.981912708,0.0318707045,-0.17994649,-0.0495071026,1,raw,raw_camera_orientation,relative_only
92,22.004050251,-0.272094667,0.179626986,-0.692685544,0.982779395,0.0355204933,-0.175121485,-0.0470682574,1,raw,raw_camera_orientation,relative_only
93,22.155376884,-0.27372551,0.185186192,-0.698844135,0.981295389,0.0346067936,-0.182698664,-0.0498289815,1,raw,raw_camera_orientation,relative_only
94,22.306703518,-0.26790899,0.179792479,-0.67649591,0.981816735,0.0323215417,-0.180836051,-0.0478491431,1,raw,raw_camera_orientation,relative_only
95,22.458030151,-0.270041138,0.179988235,-0.684140384,0.980789853,0.0381818267,-0.185112937,-0.0482349739,1,raw,raw_camera_orientation,relative_only
96,22.609356784,-0.277650476,0.176639006,-0.675396621,0.980695409,0.0477926337,-0.183234439,-0.0487598098,1,raw,raw_camera_orientation,relative_only
97,22.760683417,-0.287230283,0.180898577,-0.673904896,0.973982301,0.0396194256,-0.217899815,-0.0480463296,1,raw,raw_camera_orientation,relative_only
98,22.912010050,-0.312218845,0.210644379,-0.737706184,0.896366312,0.0252776944,-0.43685341,-0.0710462516,1,raw,raw_camera_orientation,relative_only
99,23.063336683,-0.274409533,0.224686593,-0.792023659,0.768495317,0.0211213521,-0.630523735,-0.106811307,1,raw,raw_camera_orientation,relative_only
100,23.214663317,-0.280958414,0.265532851,-0.845802486,-0.612849018,0.00507165486,0.777591484,0.140505667,1,raw,raw_camera_orientation,relative_only
101,23.365989950,-0.260209054,0.253658444,-0.809618294,-0.526464201,0.00652427244,0.834218567,0.163927608,1,raw,raw_camera_orientation,relative_only
102,23.517316583,-0.265267521,0.268560469,-0.83826226,-0.517266675,-0.0112845876,0.84195593,0.153029592,1,raw,raw_camera_orientation,relative_only
103,23.668643216,-0.282058984,0.263180614,-0.817278028,-0.503444969,-0.0300051577,0.846945859,0.168302008,1,raw,raw_camera_orientation,relative_only
104,23.819969849,-0.285217851,0.264497548,-0.825813055,-0.480934916,-0.0448748587,0.856913022,0.179966458,1,raw,raw_camera_orientation,relative_only
105,23.971296482,-0.265786469,0.272022218,-0.852523446,-0.44388197,-0.0556622992,0.873987206,0.189781106,1,raw,raw_camera_orientation,relative_only
106,24.122623116,-0.253468364,0.288648248,-0.859046102,-0.432851186,-0.0431406455,0.857207277,0.275634576,1,raw,raw_camera_orientation,relative_only
107,24.273949749,-0.229334757,0.268930614,-0.818886995,-0.426942706,-0.0570065277,0.834037462,0.34474874,1,raw,raw_camera_orientation,relative_only
108,24.425276382,-0.246010512,0.273253709,-0.826287866,-0.408917428,-0.0451825376,0.822418219,0.392903739,1,raw,raw_camera_orientation,relative_only
109,24.576603015,-0.257845253,0.282045156,-0.831867397,-0.394483284,-0.0462289369,0.824724781,0.40258522,1,raw,raw_camera_orientation,relative_only
110,24.727929648,-0.230532959,0.292101234,-0.847735405,-0.397638571,-0.0685954362,0.824563495,0.396576948,1,raw,raw_camera_orientation,relative_only
111,24.879256281,-0.233546957,0.277600586,-0.833659708,-0.41316633,-0.0808378625,0.818818827,0.390249347,1,raw,raw_camera_orientation,relative_only
112,25.030582915,-0.23981604,0.282860428,-0.853825569,-0.399461695,-0.0733576033,0.830870112,0.380399622,1,raw,raw_camera_orientation,relative_only
113,25.181909548,-0.258784115,0.255043477,-0.825017154,-0.406404414,-0.0889722593,0.849955388,0.323257216,1,raw,raw_camera_orientation,relative_only
114,25.333236181,-0.260736316,0.257281065,-0.839553714,-0.403211477,-0.107667672,0.858835905,0.297033779,1,raw,raw_camera_orientation,relative_only
115,25.484562814,-0.272527844,0.259431243,-0.849712074,-0.404985204,-0.113021615,0.864544794,0.275273315,1,raw,raw_camera_orientation,relative_only
116,25.635889447,-0.280176938,0.256104946,-0.847772777,-0.412429655,-0.109791388,0.865094517,0.26355096,1,raw,raw_camera_orientation,relative_only
117,25.787216080,-0.290208846,0.262642711,-0.858588398,-0.417641181,-0.112340909,0.865181399,0.253804079,1,raw,raw_camera_orientation,relative_only
118,25.938542714,-0.271085054,0.253767163,-0.847374976,-0.407085544,-0.112237851,0.869977014,0.254605615,1,raw,raw_camera_orientation,relative_only
119,26.089869347,-0.288253665,0.253062516,-0.85464716,-0.402729163,-0.112119771,0.870293587,0.260437039,1,raw,raw_camera_orientation,relative_only
120,26.241195980,-0.304837555,0.247329831,-0.834224224,-0.411455012,-0.106629198,0.868960967,0.253459709,1,raw,raw_camera_orientation,relative_only
121,26.392522613,-0.308333099,0.246800542,-0.8454386,-0.400864915,-0.107872575,0.873707796,0.25358532,1,raw,raw_camera_orientation,relative_only
122,26.543849246,-0.306542516,0.24398163,-0.830980539,-0.4128846,-0.103846807,0.869097764,0.251815855,1,raw,raw_camera_orientation,relative_only
123,26.695175879,-0.297544181,0.239318743,-0.817247808,-0.399104099,-0.103659696,0.873570985,0.258542685,1,raw,raw_camera_orientation,relative_only
124,26.846502513,-0.295734465,0.238673195,-0.823371947,-0.374785767,-0.101748512,0.886222778,0.252570895,1,raw,raw_camera_orientation,relative_only
125,26.997829146,-0.317589134,0.251661658,-0.816590488,-0.298251937,-0.161189617,0.895658021,0.287854824,1,raw,raw_camera_orientation,relative_only
126,27.149155779,-0.326974481,0.256610721,-0.788779616,-0.171115862,-0.270190818,0.88769743,0.33122433,1,raw,raw_camera_orientation,relative_only
127,27.300482412,-0.327668697,0.256892949,-0.76496309,0.260868066,-0.251242387,0.851216718,0.379809445,1,raw,raw_camera_orientation,relative_only
128,27.451809045,-0.386719137,0.186891809,-0.659299612,0.755832256,-0.0973789395,0.595538682,0.254103564,1,raw,raw_camera_orientation,relative_only
129,27.603135678,-0.380220085,0.19363825,-0.639688432,0.877960078,-0.0779783032,0.406399619,0.240717336,1,raw,raw_camera_orientation,relative_only
130,27.754462312,-0.384968907,0.199024573,-0.666327655,0.880907385,-0.0736245993,0.428465948,0.18707894,1,raw,raw_camera_orientation,relative_only
131,27.905788945,-0.382909983,0.19443579,-0.655382276,0.904203237,-0.118077961,0.401046997,0.087380822,1,raw,raw_camera_orientation,relative_only
132,28.057115578,-0.415224195,0.213136718,-0.701348007,0.893784433,-0.164144905,0.417350534,-0.00493654076,1,raw,raw_camera_orientation,relative_only
133,28.208442211,-0.395451069,0.206822485,-0.692189515,0.896593516,-0.150256659,0.411916425,-0.0621921419,1,raw,raw_camera_orientation,relative_only
134,28.359768844,-0.400004536,0.211522236,-0.695003808,0.896243894,-0.152894196,0.414196305,-0.0425637005,1,raw,raw_camera_orientation,relative_only
135,28.511095477,-0.371171653,0.191842973,-0.672864199,0.913824235,-0.11356528,0.386973679,-0.0477447972,1,raw,raw_camera_orientation,relative_only
136,28.662422111,-0.371060997,0.181934372,-0.680775464,0.920681308,-0.0758699057,0.381245986,-0.0352304493,1,raw,raw_camera_orientation,relative_only
137,28.813748744,-0.343907773,0.178665668,-0.669452786,0.930256268,-0.0546906716,0.361827871,-0.02669828,1,raw,raw_camera_orientation,relative_only
138,28.965075377,-0.339190602,0.1758039,-0.686725557,0.928892198,-0.0182358596,0.368869109,-0.0276101346,1,raw,raw_camera_orientation,relative_only
139,29.116402010,-0.352266967,0.179695532,-0.686075985,0.92609865,-0.0292568465,0.375666966,-0.0189646773,1,raw,raw_camera_orientation,relative_only
140,29.267728643,-0.34579578,0.176563665,-0.682356954,0.928217875,-0.0176574429,0.370822529,-0.0242990395,1,raw,raw_camera_orientation,relative_only
141,29.419055276,-0.344671398,0.180779129,-0.674175799,0.929127628,-0.026036301,0.368339605,-0.0192327443,1,raw,raw_camera_orientation,relative_only
