frame_index,timestamp_sec,analysis_time_sec,sequence_time_sec,segment_time_sec,segment_id,segment_index,segment_boundary,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
21,67.840000000,1.000000000,1.000000000,0.000000000,seg02,2,true,0.0168745276,-0.0393574014,0.185464695,0.939562974,0.0130835855,0.00199199201,-0.342120256,1,raw,raw_camera_orientation,relative_only
22,67.890000000,1.050000000,1.050000000,0.050000000,seg02,2,false,0.0173594113,-0.0383042768,0.186277539,0.955693817,-0.0038410542,-0.0112213119,-0.294123541,1,raw,raw_camera_orientation,relative_only
23,67.940000000,1.100000000,1.100000000,0.100000000,seg02,2,false,0.0227515157,-0.0343122259,0.179880098,0.980415479,0.000934160678,-0.0351282943,-0.193779819,1,raw,raw_camera_orientation,relative_only
24,67.990000000,1.150000000,1.150000000,0.150000000,seg02,2,false,0.0149680208,-0.0386336558,0.167937532,0.995185723,0.00279953684,-0.0108325044,-0.0973662967,1,raw,raw_camera_orientation,relative_only
25,68.040000000,1.200000000,1.200000000,0.200000000,seg02,2,false,0.0148810046,-0.0356190205,0.166165903,0.99878137,0.00582904224,-0.0146043616,-0.0467815217,1,raw,raw_camera_orientation,relative_only
26,68.090000000,1.250000000,1.250000000,0.250000000,seg02,2,false,0.0130065903,-0.0365859903,0.160841003,0.999939046,0.0075403533,-0.00801190039,-0.000925616258,1,raw,raw_camera_orientation,relative_only
27,68.140000000,1.300000000,1.300000000,0.300000000,seg02,2,false,0.00569004565,-0.0407432206,0.158343777,0.999802061,0.00474469814,0.00657264957,0.0181693867,1,raw,raw_camera_orientation,relative_only
28,68.190000000,1.350000000,1.350000000,0.350000000,seg02,2,false,0.00946641993,-0.0384053998,0.156526074,0.999398648,0.00803553023,0.00182083448,0.0336817039,1,raw,raw_camera_orientation,relative_only
29,68.240000000,1.400000000,1.400000000,0.400000000,seg02,2,false,0.0108596943,-0.0353540741,0.138451293,0.995922868,0.00400053268,-0.00944825182,0.0896234802,1,raw,raw_camera_orientation,relative_only
30,68.290000000,1.450000000,1.450000000,0.450000000,seg02,2,false,0.0088064028,-0.0364923924,0.136976868,0.995880356,0.0195656772,-0.00681802059,0.088278057,1,raw,raw_camera_orientation,relative_only
31,68.340000000,1.500000000,1.500000000,0.500000000,seg02,2,false,0.00892059691,-0.041366566,0.136685684,0.993400377,0.0177351521,-0.00121390195,0.113312323,1,raw,raw_camera_orientation,relative_only
32,68.390000000,1.550000000,1.550000000,0.550000000,seg02,2,false,0.0100939274,-0.0381443985,0.130122244,0.993086342,0.0236204823,-0.00346902156,0.114932833,1,raw,raw_camera_orientation,relative_only
33,68.440000000,1.600000000,1.600000000,0.600000000,seg02,2,false,0.00895947032,-0.0386322141,0.133828402,0.989034638,0.0296785238,-0.000845390767,0.144668436,1,raw,raw_camera_orientation,relative_only
34,68.490000000,1.650000000,1.650000000,0.650000000,seg02,2,false,0.0127961477,-0.0327567384,0.11953643,0.989970218,0.0122979824,-0.00466239218,0.140662677,1,raw,raw_camera_orientation,relative_only
35,68.540000000,1.700000000,1.700000000,0.700000000,seg02,2,false,0.0113664493,-0.0334645845,0.127964333,0.994930495,-0.00221362177,-0.0139537619,0.0995675809,1,raw,raw_camera_orientation,relative_only
36,68.590000000,1.750000000,1.750000000,0.750000000,seg02,2,false,0.0116413701,-0.028432278,0.116968624,0.994344341,0.0118604183,-0.00416470121,0.105457655,1,raw,raw_camera_orientation,relative_only
37,68.640000000,1.800000000,1.800000000,0.800000000,seg02,2,false,0.0076472736,-0.0322755128,0.121122435,0.995650941,0.00515030112,-0.00512096738,0.092878707,1,raw,raw_camera_orientation,relative_only
38,68.690000000,1.850000000,1.850000000,0.850000000,seg02,2,false,0.00716165267,-0.0294146836,0.115700915,0.995785656,0.00392694949,-0.0225717036,0.0888032879,1,raw,raw_camera_orientation,relative_only
39,68.740000000,1.900000000,1.900000000,0.900000000,seg02,2,false,0.00603094464,-0.0280814972,0.114834674,0.996472199,0.0194743569,-0.0113977058,0.0808331463,1,raw,raw_camera_orientation,relative_only
40,68.790000000,1.950000000,1.950000000,0.950000000,seg02,2,false,0.00589431496,-0.0246360395,0.115718462,0.996797333,0.0194962249,-0.0255083356,0.0732413761,1,raw,raw_camera_orientation,relative_only
